ext_recipe_id,title,category,subcategory,description,num_ingredients,num_steps,directions_text
11,Air Fryer Pasta Tacos,Air Fryer Recipes,Air Fryer Recipes,"These air fryer pasta tacos are a fusion of manicotti and tacos. Pasta shells, filled with taco seasoned beef and cheese, are coated in crushed tortilla chips and air fried for a crunchy, savory pasta ""taco"".",10,7,"Bring a large pot of salted water to a boil. Add pasta and cook for 6 minutes. Drain and rinse under cold water. Set aside.
Heat a nonstick skillet over medium-high heat. Add beef and cook, crumbling with a spoon, until evenly browned, about 7 minutes.
Add taco seasoning, green chiles, and RO*TEL and stir, scraping up any browned bits from the bottom of the pan. Remove from heat and stir in Cheddar cheese.
Fill each pasta shell with beef mixture and freeze for at least 30 minutes or up to 1 hour.
Meanwhile, whisk together eggs and milk in a shallow dish. Place crushed tortilla chips in a second shallow dish. Lighty coat filled pasta with egg wash and coat in crushed crumbs, pressing lightly to adhere if necessary.
Preheat an air fryer to 400 degrees F (200 degrees C) according to manufacturer's instructions.
Working in 2 batches, air fry the pasta tacos for 10 to 12 minutes. Serve with desired toppings."
12,Copycat Cinnabon Delights Hawaiian Rolls,Air Fryer Recipes,Air Fryer Recipes,"Make these copycat Cinnabon delights using Hawaiian rolls, cream cheese, and your air fryer. This recipe makes enough to serve a crowd.",9,6,"Combine cream cheese, confectioner's sugar, 2 tablespoons softened butter, vanilla, lemon juice and salt together in a medium bowl and mix with an electric mixer or whisk until smooth and well blended. Transfer mixture to a resealable plastic bag or piping bag.
Use a paring knife to cut a 1/2-inch slit in one side of each roll. Use a small spoon handle or finger to form a well in the center of each roll through the slit without going all the way through to the other side.
Snip the corner of the plastic bag and fill each roll with cream cheese mixture. It helps to use a small offset spatula or the end of a small spoon to work the mixture in to get an ample amount of filling inside without it oozing out the side.
Melt remaining butter in a small bowl and brush a light coating of butter on each roll.
Preheat an air fryer to 400 degrees F (200 degrees C) according to manufacturer's instructions. Stir together sugar and cinnamon in a shallow dish.
Working in batches to avoid overcrowding, air fry filled rolls until browned and toasted, about 3 minutes. Immediately coat warm rolls evenly with cinnamon sugar. Brush with more butter if necessary before dipping in cinnamon sugar to help sugar adhere."
13,Air Fryer English Muffin Tuna Melt,Air Fryer Recipes,Air Fryer Recipes,"This air fryer English muffin tuna melt makes a quick and delicious meal. Begin by toasting the English muffins in the air fryer, top with a quick tuna salad, and finish by melting the cheese air fryer, too.",9,2,"Preheat an air fryer to 325 degrees F (165 degrees C). Place sliced English muffins in air fryer and toast until lightly browned, 2 to 4 minutes. Remove and set aside.
Combine tuna, mayonnaise, mustard, celery, onion, salt, and pepper in a bowl and mix until combined. Divide tuna mixture into 4 equal parts, and top each muffin half with tuna. Top each with 1 slice provolone cheese and 1 slice Cheddar cheese. Air fry until cheese is melted, 5 to 8 minutes."
14,Air Fryer Lamb Chops,Air Fryer Recipes,Air Fryer Recipes,"These air fryer lamb chops marinate with minced fresh herbs, then cook to perfection in the air fryer in under 10 minutes. Roasted potatoes and a green salad make excellent side dishes.",10,6,"Combine olive oil, lemon zest and juice, salt, pepper, garlic, oregano, mint, rosemary, and parsley in a large resealable plastic bag. Gently squeeze contents inside the bag to mix.
Add lamb chops, squeeze out as much air as possible, reseal the bag, and marinate in the refrigerator for at least 2 hours, or up to 4 hours. Turn the bag after each hour, to marinate both sides of the chops.
When ready to cook, preheat the air fryer to 400 degrees F (200 degrees C), or according to manufacturer's instructions.
Add lamb chops to the air fryer in a single layer and air fry for 3 1/2 minutes.
Turn chops and continue to air fry an additional 3 minutes. Test for doneness with an instant read thermometer. 120 degrees F (49 degrees C) is rare, 130 degrees F (54 degrees C) is medium, and 145 degrees F (63 degrees C) is medium well. Add time in 1-minute increments to achieve desired doneness.
Tent with foil and allow to rest for 5 to 10 minutes before serving."
15,Air Fryer Pesto Chicken Quinoa Bowl,Air Fryer Recipes,Air Fryer Recipes,"This air fryer pesto chicken quinoa bowl is a hearty dinner, with air fried, seasoned chicken and zucchini spears atop fluffy, whole-grain quinoa, fresh tomatoes, and crumbled feta.",13,7,"Mix together pesto and garlic powder in a bowl. Add chicken to bowl and stir until evenly coated.
In a separate bowl mix together olive oil, pepper flakes, salt, and black pepper. Add zucchini to the bowl and stir until evenly coated.
Preheat an air fryer to 400 degrees F (200 degrees C).
Lightly spray air fryer with nonstick spray. Place chicken on one side, and place seasoned zucchini on the other side.
Fry in the preheated air fryer until an instant-read thermometer inserted into the center of chicken reads 165 degrees F (74 degrees C), about 10 minutes.
Mix cooked quinoa and chopped basil leaves together.
In a bowl place 1 cup quinoa, ½ cup chopped tomatoes, half the chicken breasts, and half the zucchini spears. Top each bowl with half the feta cheese and serve."
16,Air Fryer Honey Mustard Salmon Bites,Air Fryer Recipes,Air Fryer Recipes,These air fryer honey mustard salmon bites are quick and easy to make in the air fryer. Honey mustard and salmon are so delicious together—these bites will be a hit at your next party.,6,6,"Gather all ingredients. Preheat an air fryer to 400 degrees F (200 degrees C).
Combine salmon, oil, paprika, salt, and pepper in a small mixing bowl. Toss to combine. Place seasoned salmon in the basket of the air fryer.
Air fry for 4 minutes.
Using a basting brush, lightly brush honey mustard over salmon pieces. Stick a toothpick in each bite.
Air fry until fish flakes easily with a fork, about 4 minutes more.
Transfer to a serving plate and serve immediately."
17,Air Fryer Honey Mustard Salmon,Air Fryer Recipes,Air Fryer Recipes,"This air fryer honey mustard salmon is quick enough to make for a weeknight. Sweet-sharp honey mustard is a perfect flavor match for succulent salmon, and preparing it in the air fryer is the next best thing to grilling with half the trouble.",5,6,"Gather all ingredients. Preheat an air fryer to 400 degrees F (200 degrees C).
Stir Dijon and honey together in a small bowl; brush over salmon. Season with salt and pepper. Place salmon in a single layer in the air fryer basket.
Air fry salmon in the preheated air fryer until fish flakes easily with a fork, 7 to 9 minutes. depending on thickness.
For sauce, melt butter in a small saucepan over medium heat. Remove from heat and pour in whiskey. Return saucepan to heat and allow flame to burn off the alcohol.
Stir in cream, Dijon, and honey; bring to a gentle boil and cook until sauce thickens slightly, 1 to 2 minutes. Season with salt and pepper.
Transfer salmon to plates, and garnish with sauce and fresh thyme."
18,Panko Sesame Crusted Salmon Bites,Air Fryer Recipes,Air Fryer Recipes,"These air-fried panko sesame crusted salmon bites have a crunchy, nutty crust surrounding tender, buttery perfectly-cooked salmon. You'll have time to stir up the sweet-savory Kewpie mayonnaise, soy, sesame, chili-garlic-lime dipping sauce while the salmon bites are in the fryer.",12,5,"Gather all ingredients.
Sprinkle salmon evenly with 1/2 teaspoon salt. Whisk together granulated garlic, 1/4 cup mayonnaise, 1 1/2 teaspoons sesame oil, 1 1/2 teaspoons soy sauce, 1 teaspoon lime juice, and remaining 1/2 teaspoon salt in a bowl. Add salmon to mayonnaise mixture and gently toss to coat.
Stir together panko, sesame seeds, and 1 teaspoon sesame oil in a shallow bowl. Working in 4 batches, dredge salmon in panko mixture, gently pressing to adhere, and transfer to a large plate or baking sheet.
Lightly coat the air fryer basket with cooking spray. Place half of salmon in basket, spaced at least 1 inch apart. Cook at 400 degrees F (200 degrees C) until browned and an instant-read thermometer inserted into the thickest part of salmon registers 125 degrees F (52 degrees C), about 5 minutes. Transfer cooked salmon to a plate, and repeat with remaining salmon.
While salmon cooks, stir together chili garlic sauce, honey, remaining 1/4 cup mayonnaise, 1 1/2 teaspoons soy sauce, 1/2 teaspoon toasted sesame oil, and 1/2 teaspoon lime juice in a small bowl. Drizzle chili garlic mixture over cooked salmon and serve with lime wedges."
19,Wet Wet Wings,Air Fryer Recipes,Air Fryer Recipes,These finger-licking chicken wings covered in wet wet sauce will surely be a smash hit at your next gathering.,7,4,"Toss wings in a bowl with oil, salt, and pepper. Transfer to the air fryer basket.
Air fry the wings at 400 degrees F (200 degrees C) until cooked through and crisp, 20 to 25 minutes.
While wings cook, prepare the wet wet sauce and set aside.
Pour wet wet sauce over wings and toss to until well coated with sauce. Sprinkle with green onions and sesame seeds if desired."
20,Air Fried Tossed Taquitos,Air Fryer Recipes,Air Fryer Recipes,"These air fried tossed taquitos are frozen chicken taquitos, given a quick upgrade by air frying, tossing in buttered hot sauce, and sprinkling with cotija cheese and chopped cilantro.",6,2,"Heat an air fryer to 400 degrees F (200 degrees C). Add taquitos and cook until slightly crispy, about 8 minutes.
Meanwhile, melt butter in a large skillet over medium heat. Stir in hot sauce until well combined. Toss taquitos in butter mixture until well coated and add to a serving platter. Top with cheese and cilantro and serve with sour cream."
21,Easy Air Fryer Chicken Breast,Air Fryer Recipes,Air Fryer Recipes,This air fryer chicken breast is quick and simple to make and always comes out perfectly moist and juicy. This recipe is easy to scale up for more people.,4,4,"Gather all ingredients. Preheat an air fryer to 360 degrees F (182 degrees C).
Brush both sides of chicken breast with olive oil; season with garlic powder, salt, and pepper on one side. Place chicken breast, seasoned-side down, into the air fryer basket and sprinkle the other side with garlic powder, salt, and pepper.
Cook in the preheated air fryer for 9 minutes. Flip chicken and continue cooking until no longer pink in the center and the juices run clear, about 9 more minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).
Transfer chicken breast to a plate and loosely cover with aluminum foil. Let rest for 5 minutes before serving."
22,Air Fryer Lemon Garlic Parmesan Chicken,Air Fryer Recipes,Air Fryer Recipes,"These simple lemon garlic Parmesan chicken thighs are cooked in the air fryer. Seasoned with lemon zest, garlic, and oregano and coated in Parmesan cheese they come out juicy and tender.",10,7,"Gather all ingredients.
Preheat an air fryer to 400 degrees F (200 degrees C).
Place chicken in a large bowl. Add garlic, lemon zest, paprika, oregano, salt, and crushed red pepper; toss to coat chicken in the seasonings.
Combine Parmesan cheese and panko in a shallow dish. Dredge chicken in Parmesan mixture to coat. Sprinkle any remaining mixture over chicken; pat to adhere.
Coat the chicken generously with cooking spray.
Lightly coat air fryer basket with cooking spray. Place chicken in prepared basket (cook in batches, if needed). Air fry 12 minutes or until an instant-read thermometer inserted in the center reads 170 degrees F (77 degrees C).
Serve immediately."
23,Air Fryer S'Mores,Air Fryer Recipes,Air Fryer Recipes,"This recipe for air fryer s'mores is perfect for the times when you have the craving, but not the bonfire. You can easily make 1 s'more in the air fryer, or make the whole batch.",3,4,"Preheat an air fryer to 380 degrees F (193 degrees C). Lay out a total of 10 graham crackers. Do not break apart.
Take 10 s'more size marshmallows and cut them in half horizontally with a serrated knife. Place the sticky side of each marshmallow half onto each square side of a graham cracker rectangle.
Place a piece of parchment into the air fryer basket; place a graham cracker into the basket, marshmallow side facing up. Air fry until marshmallow is toasted, 3 to 4 minutes. Remove carefully.
Gently break marshmallow-topped graham cracker rectangle into 2 squares, add a chocolate bar half on top of 1 square, and sandwich the chocolate with the other square."
24,Air Fryer Baked Yams,Air Fryer Recipes,Air Fryer Recipes,"These air fryer baked yams free up the oven, which is especially helpful during the holidays, and come out every bit as tender and moist as oven-baked yams.",2,3,"Preheat an air fryer to 400 degrees F (200 degrees C).
Scrub yam clean and dry with a paper towel. Rub all over with olive oil.
Place yam in the preheated air fryer, and cook until tender when pierced with a fork, 15 to 20 minutes."
25,Lemon Garlic Butter Chicken Spiedini,Air Fryer Recipes,Air Fryer Recipes,"These lemon garlic butter chicken spiedini are air-fried crispy, golden breaded chicken skewers with a light lemon garlic butter drizzle.",18,4,"Whisk together olive oil, wine, 2 tablespoons lemon juice, lemon zest, 1/2 of the garlic, crushed red pepper, oregano, 1 teaspoon salt, and 1/2 teaspoon pepper in a bowl. Add chicken and toss to coat. Cover and refrigerate 30 minutes to 1 hour.
Stir together remaining salt and pepper with bread crumbs, panko, Parmesan cheese, and garlic powder in a shallow dish. Remove chicken from marinade and toss to coat in breadcrumb mixture, pressing to adhere as necessary. Thread chicken onto skewers and coat with olive oil cooking spray.
Preheat an air fryer to 390 degrees F (198 degrees C). Air fry until chicken is no longer pink at the center and juices run clear, and is until lightly golden brown and crisp, about 12 minutes. An instant read thermometer, inserted near the center, should read 165 degrees F (74 degrees C).
Meanwhile, melt butter with remaining garlic in a microwave-safe dish on High in the microwave, about 10 seconds. Stir in remaining lemon juice and parsley. Drizzle butter mixture over chicken just before serving."
26,Air Fryer Grilled Pimento Cheese,Air Fryer Recipes,Air Fryer Recipes,"Pimento cheese is a Southern classic, and also a component of the legendary sandwich at the annual Masters golf tournament. For an updated twist, combine it with juicy tomato on some crusty bread, air fry to toasty perfection, and you'll have the ultimate sandwich",6,4,"Preheat the air fryer to 370 degrees F (188 degrees C).
Spread one side of each bread slice lightly with mayonnaise. Lay 2 slices of bread, mayonnaise side down, and evenly spread with pimento cheese; top with tomato slices. Sprinkle with basil and season with salt and pepper. Top with remaining 2 bread slices, mayonnaise side up.
Move sandwiches to the air fryer basket. Place a toothpick in the center of each sandwich and air fry until bread is fully toasted and golden brown, 8 to 10 minutes, flipping halfway through.
Remove toothpick from sandwich, slice in half, and serve."
27,Air Fryer Chicken Parmesan,Air Fryer Recipes,Air Fryer Recipes,Use your air fryer to make this quick and easy chicken Parmesan recipe resulting in crispy golden brown chicken with lots of cheesiness and sauce. Perfect for busy weeknights when you don't want to fuss with deep-frying.,12,6,"Gather all ingredients.
On a cutting board, butterfly chicken by cutting each breast in half widthwise to create 4 thin pieces of chicken; season both sides with 1/2teaspoon of the salt and 1/4 teaspoon of the black pepper.
Place flour, egg, and panko in 3 separate shallow dishes. Add Parmesan, oil, crushed red pepper, and garlic powder to panko; stir to coat. Add remaining 1/4 teaspoon salt and remaining 1/4 teaspoon black pepper to flour; stir to combine. Working with 1 chicken piece at a time, dredge chicken in flour; shake off excess. Dip in egg; let excess drip off. Dredge in panko mixture to coat; place on a plate.
Preheat a 6-quart air fryer to 400 degrees F (200 degrees C) for 2 minutes. Working in two batches, add 2 chicken cutlets to the air fryer basket in a single layer. Cook until chicken is golden brown on both sides, about 5 minutes per side.
Top each chicken piece with 1/4 cup marinara and 1/4 cup mozzarella cheese.
Snugly fit all 4 breasts in a single layer in air fryer basket; cook at 400 degrees F (200 degrees C) until cheese is melted and browned and a thermometer inserted into the thickest portion of chicken registers 165 degrees F (73 degrees C), 2 to 3 minutes."
28,Air Fryer Eggplant,Air Fryer Recipes,Air Fryer Recipes,"For this air fryer eggplant, there's no need for time-consuming breading. This quick-and-easy eggplant is tasty, soft, and creamy on the inside.",6,3,"Preheat an air fryer to 400 degrees F (200 degrees C). Place a disposable paper liner in the air fry basket or give it a spritz of cooking spray.
Stir eggplant cubes in a large bowl with avocado oil. Sprinkle with garlic powder, thyme, lemon pepper, and salt. Toss until all pieces are well coated.
Place the eggplant cubes in a single layer in the air fryer basket, and mist with cooking spray. Cook until browned on the outside and tender inside, 15 to 17 minutes, shaking the basket halfway through. Serve immediately."
29,Air Fryer Sriracha Fries,Air Fryer Recipes,Air Fryer Recipes,"These air fryer Sriracha fries are the best French fries for anyone who loves spicy food—golden, crispy, and spicy!",4,8,"Cut potatoes into fries. Place cut fries into a bowl of water; soak for 1 hour.
Preheat the oven to 200 degrees F (95 degrees C). Line a baking sheet with paper towels and set a wire rack over the sheet.
Preheat the air fryer to 375 degrees F according to manufacturer's instructions.
Drain fries, and pat dry with a paper towel. Place fries in a resealable plastic bag. Add oil, 1 tablespoon Sriracha, and salt. Seal the bag and toss to coat.
Add fries to bottom of air fryer basket in a single flat layer, not stacked. You will have to work in batches.
Air fry until crispy and golden brown, about 13 minutes.
Place fries on the prepared baking sheet; keep warm in the preheated oven. Repeat with remaining fries.
Place fries on a platter; drizzle with remaining sriracha. Enjoy."
30,Crispy Air Fryer Potato Bites,Air Fryer Recipes,Air Fryer Recipes,"These crispy air fryer potato bites are crispy and flavorful on the outside, tender on the inside. The grated Parmesan creates a perfect crust in the air fryer.",6,3,"Preheat the air fryer to 400 degrees F (200 degrees C) according to manufacturer's instructions.
Place cubed potatoes in a large bowl. Add olive oil and toss to coat. Add garlic powder, salt and pepper; toss again. Add grated Parmesan and toss one last time.
Place seasoned potatoes in the basket of the preheated air fryer. Cook for 8 minutes. Shake and cook until tender, about 4 minutes more. Serve immediately."
31,Copycat Wingstop Cajun Corn,Air Fryer Recipes,Air Fryer Recipes,"This copycat Wingstop Cajun corn is seasoned with garlic, cayenne, and herbs, exactly like your favorite restaurant version.",11,4,"Cut corn into 2-inch thick pieces. Toss corn with olive oil, 1 teaspoon salt and 2 tablespoons melted butter.
Preheat an air fryer to 400 degrees F (200 degrees C) according to manufacturer's instructions. Add corn to air fryer and cook about 15 minutes, tossing occasionally, until partially golden brown.
Meanwhile, combine remaining salt and butter with remaining ingredients in a large bowl and mix well.
Add cooked corn to butter mixture and toss well to coat."
32,Air Fryer Po' Boy,Air Fryer Recipes,Air Fryer Recipes,Deliciously crispy fried shrimp cooked in the air fryer are piled onto toasted rolls with a flavorful coleslaw to make a lighter version of the classic po' boy sandwiches you love!,15,6,"To make the coleslaw: Whisk lemon juice, oil, garlic, tarragon, mustard, and 1/4 teaspoon kosher salt together in a bowl. Add coleslaw mix and toss to coat. Set aside.
Whisk buttermilk, hot sauce, cayenne, chipotle pepper, black pepper, and remaining salt together in another bowl. Add shrimp to buttermilk mixture, tossing to coat; let marinate for a few minutes.
Meanwhile, preheat an air fryer to 400 degrees F (200 degrees C) according to manufacturer's instructions.
Add 2/3 cup panko to a shallow dish. Remove shrimp from buttermilk mixture, letting excess drip off. Working in 3 batches, dredge 1/3 of the shrimp in 2/3 cup panko, turning evenly to coat. Transfer to a baking sheet and repeat with remaining shrimp and panko.
Working in batches if necessary, arrange shrimp in a single layer in the fryer basket. Cook, turning once, until shrimp are golden brown and cooked through, about 8 minutes.
To serve, put coleslaw in rolls and top with shrimp."
33,Air Fryer Buffalo Wings,Air Fryer Recipes,Air Fryer Recipes,"These crispy air fryer Buffalo wings are seasoned with garlic, paprika, and cayenne pepper. They take minutes to prep and always come out juicy inside. Serve with ranch or blue cheese sauce or eat as-is!",8,3,"Preheat an air fryer to 380 degrees F (190 degrees C).
Combine sea salt, garlic powder, mustard powder, coriander, smoked paprika, cayenne pepper, and black pepper in a shallow bowl. Dredge each chicken wing in the spice mixture and set into the air fryer basket in one layer.
Cook in the air fryer until chicken wings are no longer pink at the bone and the juices run clear, about 30 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C). If wings are smaller, reduce cooking time."
34,Air Fryer Smashed Potatoes,Air Fryer Recipes,Air Fryer Recipes,"These golden, crispy air fryer smashed potatoes are easier to make than you think in just 20 minutes! They're flavored with garlic and brushed with butter to make them extra crispy.",6,5,"Preheat an air fryer to 400 degrees F (200 degrees C).
Meanwhile, place potatoes in a microwave-safe bowl: cook on high until just tender, about 5 minutes.
Transfer potatoes to a baking sheet and use the bottom of a small glass to gently ""smash"" them to 3/4 or 1/2-inch thick. The thinner you flatten the potatoes, the crispier they will be.
Brush melted butter over the tops of smashed potatoes. Season with salt, garlic powder, and pepper.
Place potatoes in the basket of the air fryer in an even layer; cook until golden and crisp, about 10 minutes. Garnish with parsley and serve hot."
35,Air Fryer Quesadillas,Air Fryer Recipes,Air Fryer Recipes,"These air fryer quesadillas are golden and crispy, quick and easy to make, and there are no skillets to wash. Both flour and corn tortillas work for this recipe and the choice of cheese is up to you.",3,3,"Heat tortillas in the microwave until pliable, about 15 seconds.
Place 1/4 cup cheese on one half of each tortilla; fold other half of tortilla over cheese. Place in air fryer. Spray with non-stick cooking spray.
Set temperature to 375 degrees F (190 degrees C). Place quesadillas in the basket of the air fryer, and cook until golden brown, 4 to 6 minutes. Flip quesadillas, press down with a spatula, and air fry an additional 2 to 3 minutes."
